"Subject_ID" "Activity" "1 tBodyAcc-mean()-X" "2 tBodyAcc-mean()-Y" "3 tBodyAcc-mean()-Z" "41 tGravityAcc-mean()-X" "42 tGravityAcc-mean()-Y" "43 tGravityAcc-mean()-Z" "81 tBodyAccJerk-mean()-X" "82 tBodyAccJerk-mean()-Y" "83 tBodyAccJerk-mean()-Z" "121 tBodyGyro-mean()-X" "122 tBodyGyro-mean()-Y" "123 tBodyGyro-mean()-Z" "161 tBodyGyroJerk-mean()-X" "162 tBodyGyroJerk-mean()-Y" "163 tBodyGyroJerk-mean()-Z" "201 tBodyAccMag-mean()" "214 tGravityAccMag-mean()" "227 tBodyAccJerkMag-mean()" "240 tBodyGyroMag-mean()" "253 tBodyGyroJerkMag-mean()" "266 fBodyAcc-mean()-X" "267 fBodyAcc-mean()-Y" "268 fBodyAcc-mean()-Z" "294 fBodyAcc-meanFreq()-X" "295 fBodyAcc-meanFreq()-Y" "296 fBodyAcc-meanFreq()-Z" "345 fBodyAccJerk-mean()-X" "346 fBodyAccJerk-mean()-Y" "347 fBodyAccJerk-mean()-Z" "373 fBodyAccJerk-meanFreq()-X" "374 fBodyAccJerk-meanFreq()-Y" "375 fBodyAccJerk-meanFreq()-Z" "424 fBodyGyro-mean()-X" "425 fBodyGyro-mean()-Y" "426 fBodyGyro-mean()-Z" "452 fBodyGyro-meanFreq()-X" "453 fBodyGyro-meanFreq()-Y" "454 fBodyGyro-meanFreq()-Z" "503 fBodyAccMag-mean()" "513 fBodyAccMag-meanFreq()" "516 fBodyBodyAccJerkMag-mean()" "526 fBodyBodyAccJerkMag-meanFreq()" "529 fBodyBodyGyroMag-mean()" "539 fBodyBodyGyroMag-meanFreq()" "542 fBodyBodyGyroJerkMag-mean()" "552 fBodyBodyGyroJerkMag-meanFreq()" "4 tBodyAcc-std()-X" "5 tBodyAcc-std()-Y" "6 tBodyAcc-std()-Z" "44 tGravityAcc-std()-X" "45 tGravityAcc-std()-Y" "46 tGravityAcc-std()-Z" "84 tBodyAccJerk-std()-X" "85 tBodyAccJerk-std()-Y" "86 tBodyAccJerk-std()-Z" "124 tBodyGyro-std()-X" "125 tBodyGyro-std()-Y" "126 tBodyGyro-std()-Z" "164 tBodyGyroJerk-std()-X" "165 tBodyGyroJerk-std()-Y" "166 tBodyGyroJerk-std()-Z" "202 tBodyAccMag-std()" "215 tGravityAccMag-std()" "228 tBodyAccJerkMag-std()" "241 tBodyGyroMag-std()" "254 tBodyGyroJerkMag-std()" "269 fBodyAcc-std()-X" "270 fBodyAcc-std()-Y" "271 fBodyAcc-std()-Z" "348 fBodyAccJerk-std()-X" "349 fBodyAccJerk-std()-Y" "350 fBodyAccJerk-std()-Z" "427 fBodyGyro-std()-X" "428 fBodyGyro-std()-Y" "429 fBodyGyro-std()-Z" "504 fBodyAccMag-std()" "517 fBodyBodyAccJerkMag-std()" "530 fBodyBodyGyroMag-std()" "543 fBodyBodyGyroJerkMag-std()"
"1" "STANDING" 3896.84905660377 2639.24528301887 2570.71698113208 5041.20754716981 2821.90566037736 3289.83018867925 5156.39622641509 4496.45283018868 3778.09433962264 2493.37735849057 4204.54716981132 4504.94339622641 3680.62264150943 3724.07547169811 3515.69811320755 4917.58490566038 4917.58490566038 5883.1320754717 5434.58490566038 6090.03773584906 5822.11320754717 4404.18867924528 5795.03773584906 5580.47169811321 4597.66037735849 4930.96226415094 5940.15094339623 5207.18867924528 6138.52830188679 5881.96226415094 5251.79245283019 5270.58490566038 5500.90566037736 5890.79245283019 5359.81132075472 2997.20754716981 3812.98113207547 4799.03773584906 5238.62264150943 4976.98113207547 5520.90566037736 5082.62264150943 5855.2641509434 3384.1320754717 6052.01886792453 5051.24528301887 5737.52830188679 4163 5493.2641509434 6059.15094339623 5043.32075471698 5283.41509433962 5833.1320754717 5020.81132075472 6179.54716981132 5575.05660377359 5788.41509433962 5511.75471698113 5791.07547169811 6161.18867924528 5632.24528301887 5292.58490566038 5292.58490566038 5592.79245283019 5710.88679245283 6046.1320754717 5705.92452830189 4398.77358490566 5341.92452830189 5961.56603773585 5015.15094339623 6182.54716981132 5564 5707.39622641509 5610.62264150943 5742.15094339623 5577.8679245283 5807.75471698113 6086.20754716981
"1" "SITTING" 3391.78723404255 3064.42553191489 2633.14893617021 2490.8085106383 5378.17021276596 4923.04255319149 4726.46808510638 4199.42553191489 3896.14893617021 2824.97872340426 3473.27659574468 3454.27659574468 4225.78723404255 3229.95744680851 4217.85106382979 4625.10638297872 4625.10638297872 5856.8085106383 5008.14893617021 6283.57446808511 5159.08510638298 4300.76595744681 5713.17021276596 4398.48936170213 4303.17021276596 5145.65957446809 5505.31914893617 5499.87234042553 5973.48936170213 5495.72340425532 5305.12765957447 5084.65957446809 5796.55319148936 5768 4835.40425531915 5508.40425531915 4977.95744680851 4050.51063829787 5103.36170212766 4398.93617021277 5452.89361702128 4580.85106382979 5511.95744680851 3542.68085106383 6100.68085106383 4138.04255319149 4996.25531914894 3792.42553191489 5395.6170212766 4797.55319148936 4091.55319148936 5165.93617021277 5378.85106382979 5282.59574468085 6036.36170212766 5938.42553191489 5657.04255319149 4826.82978723404 6575.02127659574 5886.04255319149 5926.70212765957 5076.14893617021 5076.14893617021 5486 5273.68085106383 6031.57446808511 4935.02127659574 3932.31914893617 5339.57446808511 5481.93617021277 5214.91489361702 6060.57446808511 5952.51063829787 5565.76595744681 4875.76595744681 5453.23404255319 5415.72340425532 5346.8085106383 5959.51063829787
"1" "LAYING" 3592.1 3544.9 3191.54 654.64 6480.14 5002.48 4190 3666.28 3492.9 3823.72 4182.46 3716.26 3513.24 3485.84 3353.3 4200.54 4200.54 5023.18 4420.42 5488.52 4232.04 4391.44 4947.96 4522.34 4494.4 4218.64 4504.12 4974.62 5313.68 4752.46 5031.08 4506.2 5063.06 5493.62 4601.5 4711.58 3599.78 3860.96 4363.18 4223.9 4714.94 4206.28 4872.46 3453.5 5263.46 4064.2 4088.38 4166.72 4886.14 3659.18 4644.62 4450.06 4375.72 4759.1 5372.96 4898.9 5314.2 4656.28 5282.96 5594.62 5156.56 4640.3 4640.3 4766.96 4940 5216.38 4038.96 4287.02 4780.62 4491.52 4720.16 5397.96 4850.84 5198.7 4734.9 4973.14 4737.36 4896.68 5204.86
"1" "WALKING" 3778.33684210526 4509.58947368421 4322.15789473684 4526.96842105263 3190.33684210526 1228.73684210526 1698.92631578947 3538.87368421053 3471.94736842105 4331.77894736842 3406.81052631579 2835.8 3914.62105263158 4097.27368421053 3656.95789473684 1107.29473684211 1107.29473684211 1139.61052631579 1156.74736842105 407.705263157895 721.357894736842 5325.85263157895 1149.72631578947 1772.67368421053 4692.66315789474 3693.52631578947 921.905263157895 3240.85263157895 1358.51578947368 1605.86315789474 2652.57894736842 2406.97894736842 1205.13684210526 1862.96842105263 943.831578947368 4598.38947368421 3265.46315789474 3671.53684210526 1228.98947368421 4396.67368421053 2426.26315789474 3222.10526315789 802.494736842105 5605.87368421053 325.957894736842 4256.43157894737 964.010526315789 5950.51578947368 922.4 3295.13684210526 3543.23157894737 3101.55789473684 1527.67368421053 5360.67368421053 1375.70526315789 1619.54736842105 2684.12631578947 1459.45263157895 365.378947368421 301.431578947368 965.863157894737 730.81052631579 730.81052631579 2322.06315789474 730.978947368421 394.410526315789 1176.61052631579 5310.30526315789 974.642105263158 1358.4 5946.35789473684 1369.75789473684 1697.21052631579 3313.81052631579 1782.95789473684 1412.58947368421 2007.75789473684 784.747368421053 415.105263157895
"1" "WALKING_DOWNSTAIRS" 3820.83673469388 4936.16326530612 4706.02040816327 4349.91836734694 2975.14285714286 1836.42857142857 2259.12244897959 3229.57142857143 3927.02040816327 4591.22448979592 3608.73469387755 2638 4254.14285714286 4412.75510204082 4047.32653061224 4505.89795918367 4505.89795918367 1721.97959183673 2710.87755102041 403.224489795918 4833.5306122449 3630.16326530612 994.061224489796 3068.69387755102 4457.24489795918 5107.0612244898 3411.0612244898 1804.34693877551 754.061224489796 1283.79591836735 2431.24489795918 4046.95918367347 1647.65306122449 3152.57142857143 3650.26530612245 3294.69387755102 4996.59183673469 2468.71428571429 6053.51020408163 4326.71428571429 4287.0612244898 3365.48979591837 1790.63265306122 5919.20408163265 845.204081632653 4543.36734693878 4792.9387755102 3422.28571428571 937.020408163265 1671.75510204082 1861.22448979592 1366.30612244898 3617.71428571429 2143.51020408163 631.897959183673 1750.38775510204 1591.18367346939 1826.73469387755 1662.30612244898 789.122448979592 460.69387755102 4601.38775510204 4601.38775510204 3318.51020408163 1774.28571428571 726.571428571429 4587.55102040816 2375.16326530612 1040.40816326531 2310.83673469388 2517.87755102041 693.30612244898 1879.20408163265 690.612244897959 555.469387755102 627.34693877551 2181.38775510204 1350.59183673469 655.510204081633
"1" "WALKING_UPSTAIRS" 2711.54716981132 4477.49056603774 4248.37735849057 2974.50943396226 4038.1320754717 2407.8679245283 2435.75471698113 3260.28301886792 3126.96226415094 4918.20754716981 3439.84905660377 2051.8679245283 3546.94339622642 4491.49056603774 4221.58490566038 999.188679245283 999.188679245283 2176.41509433962 2127.33962264151 2086.77358490566 1694.05660377358 1287.69811320755 1849.35849056604 3421.47169811321 2288.88679245283 2360.79245283019 2037.54716981132 1752.81132075472 2597.05660377358 2279.49056603774 3735.7358490566 3445.60377358491 2124.54716981132 696.660377358491 2096.96226415094 3123.30188679245 3766.37735849057 3055.67924528302 1312.96226415094 1943.79245283019 1740.28301886792 3485.05660377358 919.075471698113 1997.58490566038 1857.8679245283 3906.49056603774 1426.90566037736 3953.28301886792 3428.45283018868 2101.7358490566 2787.81132075472 1605.01886792453 1843.96226415094 1466.01886792453 2629.24528301887 2092.15094339623 4049 2355.28301886792 2485.69811320755 1482.07547169811 2378.92452830189 1264.18867924528 1264.18867924528 1905.16981132075 2091.62264150943 1960.2641509434 1283.7358490566 4729.77358490566 6393.81132075472 1945.94339622642 1418.30188679245 2621.24528301887 2066.62264150943 6579.2641509434 2536.92452830189 1555.56603773585 2068.84905660377 1831.71698113208 2101.81132075472
"3" "STANDING" 3718.75409836066 3176.96721311475 3422.75409836066 4528.18032786885 3440.83606557377 3821.81967213115 4641.60655737705 3749.77049180328 3822.86885245902 3302.03278688525 3476.4262295082 3925.6393442623 2792.19672131148 3619.7868852459 3718.22950819672 3398.60655737705 3398.60655737705 4196.4262295082 3841.49180327869 4334.93442622951 3954.67213114754 3109.22950819672 4344.32786885246 3347.16393442623 2451.86885245902 3148.52459016393 4089.49180327869 3972.4262295082 4519.90163934426 3973.03278688525 3878.91803278689 3634.67213114754 3896.04918032787 4165.32786885246 3936.31147540984 3604.47540983607 3400.39344262295 3320.50819672131 3678.75409836066 2925.2131147541 3868.26229508197 3331.3606557377 4171.55737704918 3128.19672131148 4380.31147540984 2678.16393442623 3954.90163934426 2778.2131147541 4069.45901639344 4620.91803278689 3577.19672131148 3851.68852459016 3960.85245901639 3786.13114754098 4557.52459016393 4002.22950819672 4021.73770491803 4001.73770491803 4146.13114754098 4422.40983606557 4270.85245901639 3767.85245901639 3767.85245901639 3934 4029.52459016393 4372.11475409836 3967.11475409836 2987.16393442623 4052.81967213115 4072 3792.34426229508 4589.50819672131 4012.22950819672 3917.2131147541 4088.72131147541 4248.75409836066 3977.81967213115 4148.31147540984 4419.80327868852
"3" "SITTING" 3209.90384615385 3695.03846153846 4449.26923076923 4616.30769230769 5499.90384615385 4374.78846153846 4665.73076923077 4343.32692307692 3821.69230769231 2550.59615384615 3730.59615384615 3592.96153846154 3951.69230769231 3361.11538461538 3916.5 3565.71153846154 3565.71153846154 4356.78846153846 4347.28846153846 4733.15384615385 4405.40384615385 3306.53846153846 4305.98076923077 5185.88461538462 3630.63461538462 3591.88461538462 4423.46153846154 4053 4748.09615384615 5272.17307692308 4157.36538461538 4138.26923076923 4937.25 4606.59615384615 4256.71153846154 4693.46153846154 4111.88461538462 3818.05769230769 3805.53846153846 3917.92307692308 4136.78846153846 4663.34615384615 4728.32692307692 2702.44230769231 4790.75 3230.11538461538 4425.96153846154 3050.19230769231 4161.86538461538 4488.86538461538 3460.96153846154 3540.71153846154 4277.23076923077 3844.76923076923 4837.82692307692 5221.32692307692 4508.78846153846 4334.11538461538 4740.05769230769 4678.36538461538 4585.36538461538 3860.71153846154 3860.71153846154 4237.23076923077 4671.15384615385 4762.96153846154 4456.51923076923 3270.96153846154 4160.09615384615 4368.65384615385 3821.94230769231 4945.88461538462 5298.67307692308 4433.57692307692 4424.73076923077 4319.82692307692 4366.90384615385 4790.51923076923 4779.92307692308
"3" "LAYING" 3383.11290322581 2346.96774193548 3142.83870967742 345.870967741935 6859.90322580645 5483 5243.67741935484 4524.08064516129 3611.51612903226 2849.58064516129 4130.85483870968 4676.11290322581 3452.20967741935 3533.61290322581 3221.25806451613 4378.85483870968 4378.85483870968 4652.6935483871 4895.3064516129 5274.74193548387 4249.58064516129 4113.22580645161 5115.58064516129 3763.93548387097 5133.56451612903 4798.98387096774 4264.53225806452 4530.04838709677 5100.54838709677 5170.16129032258 4311.04838709677 4400.22580645161 5069.01612903226 5324 4857.01612903226 3654.04838709677 4261.25806451613 4835.22580645161 4468.64516129032 4620.3064516129 4336.98387096774 4184.56451612903 5232.03225806452 3565.22580645161 5213.45161290323 3377.45161290323 4210.38709677419 4010.45161290323 4946.58064516129 4482.33870967742 5403.08064516129 4885.67741935484 4147.54838709677 4288.83870967742 5147.82258064516 5244.14516129032 5269.53225806452 5076.01612903226 5106.54838709677 5342.6935483871 4804.16129032258 4632.79032258064 4632.79032258064 4409.35483870968 5156.59677419355 5182.51612903226 4193.75806451613 4320.62903225806 4972.6935483871 4284.09677419355 4206.35483870968 5186.29032258064 5271.32258064516 5214.70967741936 5210.17741935484 5164.54838709677 4481.29032258064 5293.82258064516 5184.56451612903
"3" "WALKING" 3333.31034482759 4856.63793103448 4135.5 4573.44827586207 2969.91379310345 574.793103448276 2095.36206896552 3161.65517241379 3771.08620689655 3970.6724137931 2746.96551724138 3394.98275862069 3284.36206896552 4114.29310344828 2864.5 1117.06896551724 1117.06896551724 1085.1724137931 2315.18965517241 1858.31034482759 1268.12068965517 2560.77586206897 1701.12068965517 2265.58620689655 5041.68965517241 4043.31034482759 1079.58620689655 2028.84482758621 1618.06896551724 1704.10344827586 2042.55172413793 2239.22413793103 1850.20689655172 2046.5 1938.01724137931 4824.6724137931 3680.12068965517 3127.37931034483 980.258620689655 4075.31034482759 1239.31034482759 1627.89655172414 2408.6724137931 5258.56896551724 1642.39655172414 3189.12068965517 1418.60344827586 2282.25862068966 1786.65517241379 3483.81034482759 2948.77586206897 3195.20689655172 894.724137931035 3358.60344827586 1535.8275862069 2340.43103448276 2104.41379310345 2332.48275862069 1025.03448275862 1763.06896551724 1871.48275862069 1278.72413793103 1278.72413793103 1694.03448275862 2476.75862068966 1353.31034482759 1510.74137931034 1123.6724137931 1865.18965517241 995.258620689655 4463.25862068965 1407.41379310345 2419.53448275862 2070.98275862069 2533.25862068966 1847.12068965517 1788.53448275862 2722.01724137931 1083.94827586207
